Cruise,Haul_n,Date,SampleID,SpeciesCode,Length,Weight,Sex,Maturity ,Parasites,FaecalMatter,Live,Photo,Seconds,Temperature,Color,Consistency ,Shape,Membrane,ROC,dDNA,Lipid,POCDOC,Stomach,Otolith/Tissue,Rubbing,Gutted_weight#,Gall_Bladder,Comments
SCOOP25,1,10/12/2025,WHG60,WHG,35,0.304,F,3,Yes,Yes,,Yes,,,Yellow green,Liquid,Amorphous,No,Yes,Yes,No,No,No,No,No,,,mucus
SCOOP25,1,10/12/2025,WHG61,WHG,31,0.262,F,3,Yes,Yes,,Yes,,,Grey yellow,Fibrous unidentified,Tubular,No,Yes,Yes,No,No,No,No,No,,,mucus
SCOOP25,1,10/12/2025,WHG62,WHG,34,0.338,F,3,Yes,Yes,,Yes,,,Grey ,Pasty,Tubular,No,Yes,Yes,No,No,No,No,No,,,"content in rectum  withouth mucous membrane, rest of gut content with mucus"
SCOOP25,1,10/12/2025,POD29,POD,21,0.104,F,2,Yes,Yes,,Yes,,,Pink brown,Fibrous unidentified,Tubular,No,Yes,Yes,No,No,No,No,No,,,"forgot to write 29 on the label, check pictures"
SCOOP25,1,10/12/2025,POD30,POD,20,0.086,F,2,Yes,Yes,,Yes,,,Pink brown,Granualar,Tubular,No,Yes,Yes,No,No,No,No,No,,,could be the orange brown we've written before
SCOOP25,1,10/12/2025,POD31,POD,19,0.07,F,1,No,Yes,,Yes,,,Brown Red,Slimy,Amorphous,No,,Yes,No,No,No,No,No,,,mucus 
SCOOP25,1,10/12/2025,WHG63,WHG,31,0.234,M,2,No,Yes,,Yes,,,Green,Fibrous unidentified,Amorphous,No,No,No,Yes,No,Yes,No,No,0.216,3,mucus
SCOOP25,1,10/12/2025,WHG64,WHG,28,0.16,M,2,No,Yes,,Yes,,,Brown,Fibrous unidentified,Amorphous,No,No,No,Yes,No,Yes,No,No,0.148,2,mucus
SCOOP25,1,10/12/2025,WHG65,WHG,30,0.194,M,2,No,Yes,,Yes,,,Orange brown,Pasty,Amorphous,No,No,No,Yes,No,Yes,No,No,0.178,3,mucus
SCOOP25,1,10/12/2025,WHB4,WHB,26,0.124,M,2,Yes,Yes,,Yes,,,Black,Smooth,Tubular,No,Yes,No,No,No,No,Yes,No,,,fish full of parasites couldn't get stomach
SCOOP25,1,10/12/2025,WHB5,WHB,29,0.148,F,2,Yes,Yes,,Yes,,,Red black,Smooth,Tubular,No,Yes,No,No,No,No,Yes,No,,,stomach found empty
SCOOP25,1,10/12/2025,HOM21,HOM,17,0.042,F,1,Yes,Yes,,Yes,,,Orange,Gel,Amorphous,No,Yes,No,No,No,No,Yes,No,,,mucus maybe not poo It's too little
SCOOP25,1,10/12/2025,HOM22,HOM,22,0.078,,,Yes,Yes,,Yes,,,White,Slimy,Amorphous,No,Yes,No,No,No,No,Yes,No,,,very litte and white
SCOOP25,1,10/12/2025,NOP2,NOP,20,0.062,F,2,Yes,Yes,,Yes,,,Brown,Pasty,Tubular,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,1,10/12/2025,NOP3,NOP,16,0.036,M,2,No,Yes,,Yes,,,Orange brown,Pasty,Amorphous,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,1,10/12/2025,NOP4,NOP,11,0.012,U,1,Yes,Yes,,Yes,,,Orange brown,Pasty,Amorphous,No,Yes,No,No,No,No,Yes,No,,,camera ran out of batteries
SCOOP25,2,10/12/2025,HAD1,HAD,28,0.228,M,2,No,Yes,,Yes,,,Brown grey,liquid sandy,Amorphous,No,Yes,No,No,No,Yes,Yes,No,,2,
SCOOP25,2,10/12/2025,HAD2,HAD,31,0.26,F,3,Yes,Yes,,Yes,,,Dark brown-black,"Liquid material, fibrous, loose",Tubular,Mucous,Yes,No,No,No,Yes,Yes,No,0.234,2,
SCOOP25,2,10/12/2025,NOP1,NOP,16,0.03,F,2,No,Yes,,Yes,,,Orange-brown,Fibrous unidentified,Amorphous,No,Yes,No,No,No,No,Yes,No,,,Loose
SCOOP25,2,10/12/2025,POD20,POD,16,0.046,M,2,No,Yes,,Yes,,,Pale green,Pasty,Amorphous,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,2,10/12/2025,POD21,POD,19,0.078,F,2,No,Yes,,Yes,,,Brown-orange,Pasty,Amorphous,No,Yes,No,No,No,Yes,Yes,No,0.072,2,
SCOOP25,2,10/12/2025,POD22,POD,17,0.048,M,2,No,Yes,,Yes,,,Brown-orange,Pasty,Tubular,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,2,10/12/2025,POD27,POD,18,0.06,M,2,Yes,Yes,,Yes,,,Grey-brown,Smooth,Tubular,Mucous,Yes,Yes,No,No,No,No,No,,,"Also amorphous; was labelled POD21, photo still shows this label"
SCOOP25,2,10/12/2025,POD28,POD,10,0.012,U,1,Yes,Yes,,Yes,,,Pink brown,Pasty,Amorphous,Mucous,No,Yes,No,No,No,No,No,,,"Was labelles POD22, photo shows this number"
SCOOP25,2,10/12/2025,POD26,POD,17,0.058,M,2,No,Yes,,Yes,,,Pink brown,Pasty,,,Yes,Yes,No,No,No,No,No,,,"Colour pink brown was in rectum, rest was more red. Was labelled POD20, this is in the photo"
SCOOP25,2,10/12/2025,WHG58,WHG,29,0.208,M,2,Yes,Yes,,Yes,,,Grey,Pasty,Tubular,Mucous,Yes,Yes,No,No,No,No,No,,,Also amorphous
SCOOP25,2,10/12/2025,WHG31,WHG,31,0.224,F,3,Yes,Yes,,Yes,,,White-brown,Smooth with bit fibrous material,Tubular,Mucous,Yes,Yes,No,No,No,No,No,,,
SCOOP25,2,10/12/2025,POD23,POD,16,0.04,M,2,No,Yes,,Yes,,,Orange,Pasty,Amorphous,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,2,10/12/2025,POD24,POD,16,0.042,F,2,No,Yes,,Yes,,,Brown-orange,Pasty,Tubular,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,2,10/12/2025,POD25,POD,16,0.046,,,,Yes,,,,,,,,,Yes,No,No,No,No,Yes,No,,,Not much
SCOOP25,1,10/12/2025,HAD3,HAD,37,0.534,M,2,No,Yes,,Yes,,,Brown green,Pasty,Tubular,No,Yes,No,No,No,Yes,Yes,No,0.458,2,granular sandy poo
SCOOP25,2,10/12/2025,LHOM5,HOM,24,0.116,F,2,,Yes,Yes,Yes,6.19,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,22,0.092,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,16,0.038,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,21,0.072,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,21,0.076,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,17,0.036,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,17,0.04,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,16,0.044,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,22,0.096,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,18,0.054,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,19,0.053,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,22,0.086,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,22,0.1,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,20,0.208,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,23,0.1,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,21,0.078,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,17,0.044,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,23,0.112,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,18,0.056,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,18,0.046,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,17,0.044,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,,HOM,16,0.036,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,HOM3,HOM,29,0.249,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,HOM4,HOM,18,0.058,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,HOM5,HOM,19,0.052,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,HOM6,HOM,18,0.05,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,HOM7,HOM,18,0.05,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,WHG13,WHG,24,0.108,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,WHG14,WHG,26,0.144,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,WHG15,WHG,26,0.12,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,WHG16,WHG,25,0.112,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,LWHG1,WHG,23,0.09,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,LWHG2,WHG,25,0.114,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,LWHG3,WHG,37,0.418,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,LHOM1,HOM,25,0.144,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,LHOM2,HOM,26,0.126,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,4,07/12/2025,LHOM3,HOM,38,0.47,,,,Unchecked,Yes,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,HAD11,HAD,25,0.142,F,2,No,Yes,,Yes,,,Brown,Sandy,Tubular,No,Yes,No,No,No,Yes,Yes,No,0.128,3,
SCOOP25,8,11/12/2025,HAD12,HAD,26,0.166,F,2,No,Yes,,Yes,,,Brown,Sandy-granular,Tubular,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,HAD13,HAD,26,0.164,M,2,No,Yes,,Yes,,,Brown,Sandy-granular,Tubular,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,HAD14,HAD,27,0.174,F,2,No,Yes,,Yes,,,Brown,Sandy,Amorphous,No,Yes,No,No,No,No,Yes,No,,,Mucus
SCOOP25,8,11/12/2025,HAD15,HAD,25,0.142,F,2,No,Yes,,Yes,,,Brown,Sandy-granular,Tubular,No,Yes,No,No,No,No,Yes,No,,,Mucus
SCOOP25,8,11/12/2025,HAD16,HAD,31,0.286,F,4,No,Yes,,Yes,,,Brown,Sandy-granular,Amorphous,No,Yes,No,No,No,No,Yes,No,,,Mucus
SCOOP25,8,11/12/2025,HAD17,HAD,25,0.134,F,2,No,Yes,,Yes,,,Brown,Sandy-granular,Amorphous,No,Yes,No,No,No,No,Yes,No,,,Mucus
SCOOP25,8,11/12/2025,HAD18,HAD,41,0.712,M,3,No,Yes,,Yes,,,Brown,Liquid,Amorphous,No,Yes,No,No,No,Yes,Yes,No,0.614,3,Mucus
SCOOP25,8,11/12/2025,HAD19,HAD,27,0.164,F,2,No,Yes,,Yes,,,Brown,Sandy,Amorphous,No,Yes,No,No,No,No,Yes,No,,,Big shell 
SCOOP25,8,11/12/2025,HAD20,HAD,32,0.316,F,3,No,Yes,,Yes,,,Brown-green,Sandy,Amorphous,No,Yes,No,No,No,Yes,Yes,No,0.276,2,Mucus
SCOOP25,8,11/12/2025,HAD21,HAD,36,0.47,M,3,No,Yes,,Yes,,,Brown-green,Fibrous-sandy-liquid,Amorphous,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,HAD22,HAD,33,0.304,F,4,No,Yes,,Yes,,,Dark brown,Sandy,Tubular,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,HAD23,HAD,33,0.324,F,3,No,Yes,,Yes,,,Brown,Smooth,Tubular,No,Yes,No,No,No,No,Yes,No,,,Lumps
SCOOP25,8,11/12/2025,NOP6,NOP,20,0.068,F,2,Yes,Yes,,Yes,,,Brown ,Pasty,Amorphous,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,NOP7,NOP,16,0.056,F,2,No,Yes,,Yes,,,Orange,Pasty,Amorphous,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,WHG66,WHG,24,0.098,M,3,Yes,Yes,,Yes,,,Grey,Pasty,Tubular,No,Yes,Yes,No,No,No,No,No,,,
SCOOP25,8,11/12/2025,WHG67,WHG,28,0.17,M,3,Yes,Yes,,Yes,,,Brown pink,Pasty,Tubular,No,Yes,Yes,No,No,No,No,No,,,Pasty with some unidentified matter
SCOOP25,8,11/12/2025,POD35,POD,21,0.094,F,1,Yes,Yes,,Yes,,,Green brown,Pasty,Tubular,No,Yes,Yes,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,POD36,POD,17,0.056,F,1,Yes,Yes,,Yes,,,"Red, white",Granular,Tubular,Mucous,No,Yes,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,POD37,POD,16,0.044,M,2,Yes,Yes,,Yes,,,Brown pink,Pasty,Tubular,No,No,Yes,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,HAD24,HAD,27,0.174,F,2,No,Yes,,Yes,3.97,10.6,Brown,"Sandy, liquid",Amorphous,No,No,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,HAD25,HAD,26,0.152,M,2,No,Yes,,Yes,2.54,10.6,Brown,Sandy,Amorphous,no,No,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,HAD26,HAD,26,0.15,M,2,No,Yes,,Yes,3.15,10.6,Brown,Sandy,Amorphous,no,No,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,,HKE,52,0.994,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,HKE36,HKE,64,2.306,F,4,Yes,Yes,,Yes,12.03,10.6,Silver green,Liquid,Amorphous,Mucous,Yes,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,HKE37,HKE,28,0.156,F,1,Yes,Yes,,Yes,13.16,10.6,White silver,Liquid smooth,Amorphous,Mucous,No,No,No,No,No,Yes,No,,,"Poo was high in gut, end was empty"
SCOOP25,8,11/12/2025,HKE38,HKE,45,0.594,F,2,Yes,Yes,,Yes,12.15,10.6,Silver glitter,Liquid,Amorphous,Mucous,No,No,No,No,No,Yes,No,,,Sinking rate- some stayed in the water
SCOOP25,8,11/12/2025,HKE39,HKE,61,1.674,F,5,Yes,Yes,,Yes,3.97,10.6,Green glitter,,,Mucous,No,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,,HKE,63,1.77,,,Yes,No,,,,,,,,,,,,,,,,,,"No poo, only in the upper gut"
SCOOP25,8,11/12/2025,,HOM,21,0.07,M,2,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,,HOM,21,0.08,M,1,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,,HOM,23,0.098,U,1,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,,HOM,19,0.05,F,1,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,,HOM,17,0.042,U,1,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,,HOM,20,0.06,U,1,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,HOM22,HOM,18,0.044,M,1,,Yes,,Yes,,,Light brown,Pasty,Tubular,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,,HOM,18,0.052,F,1,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,,HOM,19,0.048,M,1,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,HOM23,HOM,19,0.054,M,2,,Yes,,Yes,,,Yellow,Liquid,Amorphous,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,HOM24,HOM,22,0.078,F,1,,Yes,,Yes,,,Yelloe-white,Liquid,Amorphous,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,HOM25,HOM,16,0.036,M,1,,Yes,,Yes,,,Grey-yellow-pink,Mucous,Amorphous,Mucous,Yes,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,HOM26,HOM,22,0.08,M,2,,Yes,,Yes,,,White-yellow,Fibrous,Amorphous,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,8,11/12/2025,,POD,17,0.052,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,POD38,POD,15,0.032,,,,Yes,,Yes,,,,,,,No,No,No,No,No,,No,,,
SCOOP25,8,11/12/2025,POD39,POD,18,0.056,,,,Yes,,Yes,4.2,10.6,,,,,No,No,No,No,No,,No,,,Split in two (sinking)
SCOOP25,8,11/12/2025,POD40,POD,14,0.032,,,,Yes,,Yes,3.62,10.6,,,,,No,No,No,No,No,,No,,,Split in two (sinking)
SCOOP25,8,11/12/2025,POD41,POD,17,0.052,,,,Yes,,Yes,3.35,10.6,,,,,No,No,No,No,No,,No,,,
SCOOP25,8,11/12/2025,,POD,14,0.032,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,,POD,19,0.064,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,,POD,15,0.038,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,POD42,POD,19,0.066,,,,Yes,,Yes,2.63,10.6,,,,,No,No,No,No,No,,No,,,
SCOOP25,8,11/12/2025,,POD,10,0.01,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,,POD,11,0.012,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,POD43,POD,17,0.042,,,,Yes,,Yes,3.03,10.6,,,,,Yes,No,No,No,No,,No,,,Put altogether in one tube (all poos from all PODS in sink rate experiments)
SCOOP25,8,11/12/2025,POD44,POD,14,0.03,,,,Yes,,Yes,2.66,10.6,,,,,Yes,No,No,No,No,,No,,,Put altogether in one tube (all poos from all PODS in sink rate experiments)
SCOOP25,8,11/12/2025,,POD,15,0.032,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,,POD,17,0.052,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,,POD,14,0.03,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,,HOM,22,0.082,,,,No,,Yes,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,,HOM,19,0.054,,,,No,,Yes,,,,,,,,,,,,,,,,
SCOOP25,8,11/12/2025,,HOM,24,0.12,,,,No,,Yes,,,,,,,,,,,,,,,,
SCOOP25,9,12/12/2025,HOM27,HOM,24,0.112,F,2,Yes,Yes,,Yes,,,Yellow-green,Fibrous,Amorphous,Mucous,Yes,No,No,No,No,Yes,No,,,
SCOOP25,9,12/12/2025,LIN1,LIN,49,0.634,M,,Yes,Yes,,Yes,,,Grey-green,Liquid with fibres,Amorphous,No,Yes,No,No,No,No,Yes,No,,,LAN code written in photo
SCOOP25,9,12/12/2025,HOM28,HOM,20,0.068,M,,No,Yes,,Yes,9.06,11.3,White,Pasty,Tubular,No,Yes,No,No,No,No,Yes,Yes,,,"Squeezed out before dissecting; used end for sink rate, put all in ROC sample"
SCOOP25,9,12/12/2025,,HOM,19,0.06,M,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,9,12/12/2025,HKE40,HKE,62,1.68,M,3,Yes,Yes,,Yes,3.19,11.5,Green,Smooth and liquid,Tubular,No,Yes,No,No,No,No,Yes,No,,,"Used lump for sink rate, mostly liquid for sample"
SCOOP25,9,12/12/2025,WHB7,WHB,30,0.176,F,2,Yes,Yes,,Yes,5.87,11.5,Dark green,Fibrous cohesive,Tubular,No,Yes,No,No,No,No,Yes,No,,,
SCOOP25,9,12/12/2025,HAD27,HAD,26,0.06,M,3,No,Yes,,Yes,,,Light brown,Granular sandy,Amorphous,No,Yes,No,No,No,Yes,Yes,No,0.158,3,
SCOOP25,9,12/12/2025,POD45,POD,15,0.042,F,1,No,Yes,,Yes,,,Brown-white,Pasty and some unidentified organic matter,Tubular,No,Yes,Yes,No,No,No,No,No,,,
SCOOP25,9,12/12/2025,POD46,POD,16,0.048,F,1,No,Yes,,Yes,,,White-brown,Fibrous unidentified,Tubular,No,Yes,Yes,No,No,No,No,No,,,
SCOOP25,9,12/12/2025,POD47,POD,14,0.028,M,1,No,Yes,,Yes,,,Brown,Fibrous,Tubular,No,No,Yes,No,No,No,No,No,,,Basically empty
SCOOP25,9,12/12/2025,LHOM91,HOM,22,0.08,,,,Yes,Yes,,3.5,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,POD48,POD,18,0.058,M,2,No,Yes,,Yes,,,Red-yellow,Granular,Amorphous,No,Yes,Yes,No,No,No,No,No,,,Samples weren't marked so guessing that they did ROC and dDNA
SCOOP25,11,12/12/2025,WHG68,POD,20,0.078,F,1,No,Yes,,Yes,,,White-brown,Pasty with organic matter,Tubular,No,Yes,Yes,No,No,No,No,No,,,
SCOOP25,11,12/12/2025,WHG69,BIB,19,0.076,M,2,No,Yes,,Yes,,,White-yellow,Liquid,Amorphous,No,Yes,Yes,No,No,No,No,No,,,
SCOOP25,10,12/12/2025,HKE41,HKE,41,0.466,F,4,Yes,Yes,,Yes,,,Green-silver,Liquid and fibrous,Amorphous,no,Yes,No,No,No,Yes,Yes,No,0.408,4,
SCOOP25,10,12/12/2025,,HAD,17,0.048,M,2,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HKE,30,0.18,M,3,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.039,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,HOMS1,HOM,17,0.092,,,,Yes,,Yes,15.94,11.5,Yellow,"Fibrous, liquid",Amorphous,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.04,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.034,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.036,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.03,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.028,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.034,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.036,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.038,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.026,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.04,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,HOMS2,HOM,17,0.03,,,,Yes,,Yes,11.29,11.5,Yellow,Gel,Amorphous,Mucous,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.04,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,HOMS3,HOM,17,0.034,,,,Yes,,Yes,10.54,11.5,Yellow,Gel,Amorphous,Mucous,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.032,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.056,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,HOMS4,HOM,17,0.04,,,,Yes,,Yes,9.81,11.5,Yellow,Gel,Amorphous,Mucous,,,,,,,,,,
SCOOP25,10,12/12/2025,HOMS5,HOM,17,0.034,,,,Yes,,Yes,17.93,11.5,Yellow,Gel,Amorphous,Mucous,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,17,0.042,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,HOMS6,HOM,17,0.04,,,,Yes,,Yes,13.13,11.5,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,18,0.044,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,18,0.042,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,18,0.044,,,,No,,,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,18,0.048,F,1,,No,,No,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,HOM29,HOM,17,0.044,F,1,,Yes,,Yes,,,Light Brown,Liquid,Amorphous,No,Yes,No,No,No,No,No,No,,,
SCOOP25,10,12/12/2025,,HOM,17,0.04,M,1,,No,,No,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,18,0.058,M,1,,No,,No,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,HOM30,HOM,16,0.032,U,1,,Yes,,Yes,,,Yellow,Liquid,Amorphous,Mucus,Yes,No,No,No,No,No,No,,,
SCOOP25,10,12/12/2025,HOM31,HOM,17,0.05,M,1,Yes,Yes,,Yes,,,Yellow,Liquid,Amorphous,,Yes,No,No,No,No,No,No,,,
SCOOP25,10,12/12/2025,,HOM,16,0.032,M,1,,No,,No,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,HOM32,HOM,15,0.028,U,1,,Yes,,Yes,,,Yellow green,Liquid,Amorphous,,Yes,No,No,No,No,No,No,,,
SCOOP25,10,12/12/2025,HOM33,HOM,18,0.044,M,3,,Yes,,Yes,,,Yellow,Liquid,Amorphous,,Yes,No,No,No,No,No,No,,,
SCOOP25,10,12/12/2025,,HOM,18,0.048,M,2,,No,,No,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,16,0.036,M,2,,No,,No,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,HOM34,HOM,16,0.036,M,2,,Yes,,Yes,,,White,Liquid,Amorphous,,Yes,No,No,No,No,No,No,,,
SCOOP25,10,12/12/2025,HOM35,HOM,18,0.046,F,2,,Yes,,Yes,,,Yellow,Liquid,Amorphous,,Yes,No,No,No,No,No,No,,,
SCOOP25,10,12/12/2025,HOM36,HOM,23,0.098,M,2,,Yes,,Yes,,,Yellow green,Liquid,Amorphous,,Yes,No,No,No,No,No,No,,,
SCOOP25,10,12/12/2025,,HOM,19,0.05,F,2,,No,,No,,,,,,,,,,,,,,,,
SCOOP25,10,12/12/2025,,HOM,15,0.032,M,2,,No,,No,,,,,,,,,,,,,,,,
